Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
03/01/2023,05105,9,Perry County,AR,92.1,6630,63.4,6612,67.3,6419,72,6002,74.1,1976,92.3,5649,54,5644,57.5,484,28.1,5512,61.8,5160,63.7,1752,81.8,2757,48.8,2757,48.8,2737,49.7,2666,51.7,2038,62.3,1255,71.6,1030,50.5,712,56.7,B,6,6,5,6,6,8,Metro,2,2,1,2,2,4,7,7,8,7,3,3,4,3,10455,9819,1722,8917,8097,2142,1214,12.4,1205,13.5,1189,14.7,744,34.7
03/01/2023,06075,9,San Francisco County,CA,97.7,874915,95,857330,95,817898,95,777332,95,141333,95,773380,87.7,762011,90.5,73496,93.2,725736,90.9,688515,90.2,131142,92.5,582909,75.4,581354,76.3,563115,77.6,538779,78.3,248013,87.3,120900,92.2,178126,71.8,94226,77.9,B,8,8,8,8,8,8,Metro,4,4,4,4,4,4,8,8,8,8,4,4,4,4,881549,842196,78817,798043,763379,141770,337784,40.1,328074,41.1,317261,41.6,85545,60.3
03/01/2023,36017,9,Chenango County,NY,97.5,31699,67.1,31598,70.7,30615,74.9,28845,76.9,9185,93.2,29701,62.9,29637,66.3,2545,35.4,28738,70.3,27092,72.3,8695,88.3,17382,58.5,17382,58.6,17259,60.1,16770,61.9,12092,72.9,7004,80.6,6313,52.2,4351,62.1,C,10,11,10,11,11,12,Non-metro,6,7,6,7,7,8,12,12,12,12,8,8,8,8,47207,44686,7196,40889,37490,9850,7261,16.2,7197,17.6,7070,18.9,4233,43
03/01/2023,30091,9,Sheridan County,MT,95.9,1727,52.2,1725,55.4,1696,59.6,1635,62.4,756,95,1639,49.5,1639,52.6,77,15.5,1612,56.6,1562,59.6,726,94.3,992,60.5,992,60.5,989,61.4,982,62.9,830,72.8,568,78.2,532,64.1,395,69.5,A,1,2,1,2,2,4,Non-metro,5,6,5,6,6,8,4,4,4,3,8,8,8,7,3309,3115,496,2847,2619,770,537,17.2,537,18.9,535,20.4,374,48.6
03/01/2023,19145,9,Page County,IA,97.3,9057,60,9050,63,8875,66.6,8456,68.9,3166,90.8,8314,55,8309,57.8,510,24.4,8157,61.2,7799,63.5,2991,85.8,4820,58,4819,58,4811,59,4742,60.8,3560,70.8,2311,77.3,2001,56.2,1479,64,B,6,6,5,6,6,8,Non-metro,6,6,5,6,6,8,8,8,8,7,8,8,8,7,15107,14368,2091,13333,12277,3488,2139,14.9,2134,16,2111,17.2,1351,38.7
03/01/2023,46125,9,Turner County,SD,96.7,5708,68.1,5683,72.3,5504,78.1,5150,81.2,1904,95,4725,56.4,4722,60.1,413,27.1,4582,65,4309,68,1640,91.5,2366,50.1,2366,50.1,2340,51.1,2256,52.4,1768,62.8,1161,70.8,883,49.9,679,58.5,A,2,2,1,3,3,4,Metro,2,2,1,3,3,4,4,4,4,3,4,4,4,3,8384,7863,1523,7049,6340,1792,1196,15.2,1181,16.8,1140,18,736,41.1
03/01/2023,51047,9,Culpeper County,VA,78.2,31661,60.2,31557,64.1,30930,70.2,28862,72.9,8544,95,26095,49.6,26040,52.9,2229,23.2,25504,57.8,23811,60.2,6682,79.2,5383,20.6,5382,20.7,5275,20.7,4997,21,3715,26.9,2021,30.2,2008,54.1,1270,62.8,B,5,6,5,6,6,7,Metro,1,2,1,2,2,3,5,5,5,5,1,1,1,1,52605,49203,9617,44087,39586,8442,3104,6.3,3056,6.9,2964,7.5,1694,20.1
03/01/2023,29157,9,Perry County,MO,91.3,8628,45.1,8625,47.9,8521,52.1,8206,55.7,2939,79.9,7789,40.7,7786,43.2,358,10.9,7700,47.1,7428,50.4,2766,75.2,3516,45.1,3516,45.2,3505,45.5,3473,46.8,2812,59.3,1964,71,1336,47.5,1069,54.4,A,1,1,1,1,2,3,Non-metro,5,5,5,5,6,7,3,3,3,3,7,7,7,7,19136,18011,3271,16355,14740,3680,1536,8.5,1525,9.3,1511,10.3,1030,28
03/01/2023,46037,9,Day County,SD,96.7,4548,83.8,4518,88,4334,93.5,4004,95,1661,95,3853,71,3839,74.8,420,45.6,3687,79.5,3419,81.2,1429,95,2056,53.4,2053,53.5,2032,55.1,1966,57.5,1551,66.3,1017,71.2,860,55.4,605,59.5,A,3,3,3,3,4,4,Non-metro,7,7,7,7,8,8,4,4,4,3,8,8,8,7,5424,5132,921,4636,4211,1421,1142,22.3,1129,24.4,1100,26.1,662,46.6
03/01/2023,39105,9,Meigs County,OH,98.6,12721,55.5,12701,58.5,12471,62.7,11869,65.6,4169,89,11181,48.8,11174,51.5,711,19.6,10971,55.1,10463,57.9,3752,80.1,5022,44.9,5022,44.9,4994,45.5,4879,46.6,3780,55,2337,62.3,1584,41.9,1110,47.5,C,9,10,9,10,10,12,Non-metro,5,6,5,6,6,8,11,11,11,10,7,7,7,6,22907,21704,3620,19896,18084,4682,1808,8.3,1798,9,1775,9.8,1070,22.9
03/01/2023,51165,9,Rockingham County,VA,78.2,40325,49.2,40259,52,39580,56.2,37341,58.2,12610,79,35931,43.8,35889,46.4,2506,18.9,35300,50.1,33383,52.1,11480,71.9,8566,23.8,8564,23.9,8472,24,8172,24.5,5977,29.3,3687,32.1,3516,58.8,2389,64.8,B,5,5,5,6,6,7,Metro,1,1,1,2,2,3,5,5,5,5,1,1,1,1,81948,77391,13271,70435,64120,15971,4478,5.8,4437,6.3,4336,6.8,2454,15.4
03/01/2023,55123,9,Vernon County,WI,96.7,18519,60.1,18332,63.8,17605,68.8,16351,71.7,5898,95,17486,56.7,17398,60.6,1856,31.3,16719,65.3,15542,68.1,5652,91.9,11778,67.4,11775,67.7,11563,69.2,11087,71.3,8116,80.3,4911,86.9,5565,68.6,3833,78,B,6,6,6,7,7,8,Non-metro,6,6,6,7,7,8,8,8,8,8,8,8,8,8,30822,28733,5922,25596,22811,6152,6495,22.6,6364,24.9,6184,27.1,3523,57.3
03/01/2023,72007,9,Aguas Buenas Municipio,PR,97.8,20342,82,20312,84.7,18977,85.8,17333,85.1,4316,83.5,19312,77.8,19301,80.5,2772,76.7,18116,81.9,16529,81.1,4145,80.2,13277,68.8,13277,68.8,13221,73,12138,73.4,6598,79,3371,81.3,2318,35.1,1347,40,C,11,12,12,12,12,12,Metro,3,4,4,4,4,4,12,12,12,12,4,4,4,4,24814,23990,3616,22130,20374,5170,1710,7.1,1695,7.7,1675,8.2,767,14.8
03/01/2023,41031,9,Jefferson County,OR,97.7,18209,73.8,18082,78.3,17154,82.5,15757,83.3,4585,93.8,16240,65.9,16226,70.3,1893,45.4,15482,74.5,14333,75.7,4281,87.6,9221,56.8,9221,56.8,9078,58.6,8659,60.4,5993,73.2,3558,83.1,3175,53,2111,59.3,D,15,15,15,15,15,16,Non-metro,7,7,7,7,7,8,16,16,16,16,8,8,8,8,24658,23095,4173,20792,18922,4888,3846,16.7,3753,18.1,3592,19,1841,37.7
03/01/2023,13279,9,Toombs County,GA,88.8,13021,48.5,13006,52.1,12813,57.6,12154,61.5,3565,78.4,11559,43.1,11554,46.3,646,12.4,11432,51.4,10908,55.2,3356,73.8,4655,40.3,4655,40.3,4639,40.6,4581,42,3388,54.6,2140,63.8,1366,40.3,1000,46.7,D,13,13,13,14,14,15,Non-metro,5,5,5,6,6,7,15,15,15,14,7,7,7,6,26830,24969,5191,22261,19778,4549,1430,5.7,1423,6.4,1412,7.1,920,20.2
